,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,46.1,47.1
14.6,74,74,169,169,169,169,169,169,169,169,169,169,169
13.6,74,74,74,74,169,169,169,169,169,169,169,169,169
12.6,74,74,74,74,169,169,169,169,169,169,169,169,169
11.6,88,74,74,74,169,169,74,74,74,74,169,169,169
10.6,88,74,74,74,169,169,74,74,74,74,169,169,169
9.6,88,74,74,74,74,74,74,74,169,169,169,169,169
8.6,88,88,74,74,74,88,74,74,169,169,169,169,169
7.6,88,88,74,74,74,74,74,74,169,169,169,169,169
6.6,88,88,88,74,74,74,74,74,169,169,169,169,169
5.6,88,88,88,74,74,74,74,74,169,169,169,169,169
4.6,88,88,88,74,74,74,74,74,169,169,169,169,169
