,k,p,n
1,2030,BCC-CSM2-MR,1
2,2030,BCC-CSM2-MR,2
3,2030,BCC-CSM2-MR,3
4,2030,BCC-CSM2-MR,4
5,2030,EC-Earth3-Veg,1
6,2030,EC-Earth3-Veg,2
7,2030,EC-Earth3-Veg,3
8,2030,EC-Earth3-Veg,4
9,2030,GFDL-ESM4,1
10,2030,GFDL-ESM4,2
11,2030,GFDL-ESM4,3
12,2030,GFDL-ESM4,4
13,2030,IPSL-CM6A-LR,1
14,2030,IPSL-CM6A-LR,2
15,2030,IPSL-CM6A-LR,3
16,2030,IPSL-CM6A-LR,4
17,2030,MRI-ESM2-0,1
18,2030,MRI-ESM2-0,2
19,2030,MRI-ESM2-0,3
20,2030,MRI-ESM2-0,4
21,2050,BCC-CSM2-MR,1
22,2050,BCC-CSM2-MR,2
23,2050,BCC-CSM2-MR,3
24,2050,BCC-CSM2-MR,4
25,2050,EC-Earth3-Veg,1
26,2050,EC-Earth3-Veg,2
27,2050,EC-Earth3-Veg,3
28,2050,EC-Earth3-Veg,4
29,2050,GFDL-ESM4,1
30,2050,GFDL-ESM4,2
31,2050,GFDL-ESM4,3
32,2050,GFDL-ESM4,4
33,2050,IPSL-CM6A-LR,1
34,2050,IPSL-CM6A-LR,2
35,2050,IPSL-CM6A-LR,3
36,2050,IPSL-CM6A-LR,4
37,2050,MRI-ESM2-0,1
38,2050,MRI-ESM2-0,2
39,2050,MRI-ESM2-0,3
40,2050,MRI-ESM2-0,4
